Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field
-27.65543193,151.2374013,15,11,65,2.5,200,0.6,35,0,another
-27.63036032,151.2983183,34,16,88,2,314,1.5,55,5,another
-27.61829509,151.3208621,36,23,78,2,316,3.3,60,5,another
-27.61067589,151.3351206,44,26,99,1.5,391,2.5,70,6,another
-27.59508218,151.3755394,37,23,89,2,337,2.3,55,5,another
-27.62063849,151.254708,22,11,95,1.5,242,0.9,80,6,another
-27.60258281,151.2780409,39,21,100,1.5,326,1.5,80,13,another
-27.59313825,151.2969295,34,16,98,2,308,4.2,70,2,another
-27.58202705,151.3141514,38,25,105,1.3,398,2,60,10,another
-27.58980539,151.2341527,23,11,111,1.2,314,1.5,70,4,another
-27.57580491,151.2602503,22,11,103,1.5,253,4.2,70,0,another
-27.54230525,151.2638741,40,20,160,1.4,395,8.6,135,12,another
-27.54563841,151.2877627,18,11,79,2,212,0.5,50,4,another
-27.51093636,151.2134266,30,16,110,1.5,260,1,115,5,another
-27.51174977,151.2410965,43,25,123,2,317,1.1,150,15,another
-27.51746069,151.2735711,30,17,109,1.5,361,2.3,55,8,another
-27.51590563,151.328221,36,29,83,1.5,387,1.5,40,20,another
-27.51980449,151.3902606,44,44,190,2.5,457,6.2,210,40,another
-27.47148099,151.2578635,28,18,129,1.3,402,3.2,60,10,another
-27.47709723,151.3001542,42,32,97,1.5,421,2.7,50,35,another
-27.42313882,151.2191515,27,19,183,0.8,463,3.5,115,10,another
-27.42341647,151.2647062,25,20,148,0.8,421,6,65,15,another
-27.42948904,151.3151061,29,31,198,2.5,452,4.3,150,50,another
-27.43619387,151.3649827,60,74,380,4,535,3.6,550,112,another
-27.38980548,151.2347063,4.6,3.4,33,1.4,2.4,0,70,5,another
-27.38591653,151.2705389,25,35,225,1,324,2.5,240,70,another
-27.39373066,151.4003529,36,66,550,2,762,12,401,285,another
-27.39657216,151.4655194,14,21,71,0.5,313,1.8,8,7,another
-27.39856778,151.4988622,21,34,400,1,664,8.9,330,40,another
-27.40084396,151.533069,74,96,340,2,569,2,600,42,another
-27.32147229,151.2094281,29,21,191,2,292,3.1,250,5,another
-27.32885143,151.2597058,66,68,696,2,451,4.2,1000,237,another
-27.28425039,151.1585951,50,30,280,3,576,7.6,250,55,another
-27.29952785,151.2122056,27,15,31,5,181,1,45,0,another
-27.29980563,151.2122056,24,16,37,2.4,190,0.4,35,2,another
-27.26980556,151.238316,40,58,660,2,0,7.1,780,240,another
-27.2726688,151.2799067,220,284,1510,8,287,0,2950,400,another
-27.27230624,151.1063736,114,80,544,3,608,1,840,120,another
-27.23675064,151.149428,27,17,246,1.5,447,4.9,185,55,another
-27.21129042,151.1895696,10,8,366,1,635,11,165,70,another
-27.21202811,151.1924827,64,78,624,4,431,4.1,970,145,another
-27.16555922,151.2150856,34,42,646,4,418,4.3,900,70,another
-27.16994745,151.2274585,93,150,1160,6.4,382,4.6,2140,83,another
-27.15318085,151.23284,110,108,576,8,344,1.8,1150,50,another
-27.14425036,151.2613697,48,44,266,3.5,476,5.5,320,40,another
-27.1388158,151.3338541,7,44,378,5,333,10,510,45,another
-27.17619526,151.1188724,102,96,550,3,400,4.1,950,135,another
-27.14841737,151.1597047,56,68,708,5,372,3,1070,105,another
-27.12563958,151.1905372,72,80,840,6,408,0,1340,130,another
-27.0940104,151.2395169,25,14,235,1.2,465,8.6,170,14,another
-27.12008453,151.0838723,29,28,202,2.5,408,3,210,25,another
-27.10548116,151.1185144,90,155,2040,2,847,0,2750,510,another
-27.08425108,151.1458153,52,60,726,6,396,3.2,1070,105,another
-27.07773655,151.0044118,1050,970,3400,5,274,0,9500,360,another
-27.05619613,151.04415,45,36,153,4.5,442,3.3,120,37,another
-27.05675168,151.0447055,28,23,268,3,431,3.7,245,80,another
-27.04170832,151.0745618,68,60,524,2,514,4.8,740,95,another
-27.04341819,151.0774826,94,94,742,4,390,0,1300,147,another
-27.01091828,151.1133149,70,80,804,5,390,0,1260,130,another
-26.98951272,151.1578785,46,40,614,3,560,6.2,690,185,another
-26.9657145,151.2068386,17,20,288,2,509,7.6,230,8,another
-26.95341216,150.8696195,150,114,250,6,538,1.9,640,12,another
-26.89886977,150.9792328,104,108,968,4,482,0,1650,105,another
-26.80272034,150.6772695,72,55,295,2,344,1.5,460,60,another
-26.79582329,150.6801876,46,37,218,2,612,5,156,14,another
-26.78227624,150.6740698,800,710,4900,25,415,0,10300,640,another
-26.74223581,150.6799288,124,148,1690,4,628,0,2650,217,another
-27.86051304,151.6975999,18,40,310,1,555,2.9,263,10,another
-27.85562458,151.6942207,210,392,374,2,305,0,1690,215,another
-27.84852819,151.6898738,76,140,680,4,671,0,1120,22,another
-27.29925007,151.2127612,22,14,27,2.9,165,2.7,27,3.5,another
-27.53313895,151.206097,37,29,407,4,922,7.3,200,10,another
-27.86857762,151.618555,80,63,107,6,321,0.9,265,27,another
-27.8687819,151.6187009,74,56,110,3,260,1,268,33,another
-27.69147185,151.2377642,40,21,38,4.1,240,2.8,58,9.1,another
-27.88170301,151.649198,64,95,340,1,546,4.4,525,112,another
-27.87371648,151.6423593,44,75,445,1,832,7.6,430,135,another
-27.86233526,151.5535472,38,23,77,2,325,0.9,65,10,another
-27.85309741,151.5705715,23,18,125,1.5,363,1.4,65,9,another
-27.73980373,151.4163729,60,29,80,2,374,1.8,85,34,another
-27.74341489,151.4066509,26,94,76,0.7,495,7.9,150,9.8,another
-27.62647125,151.3283179,1.7,0.1,87.2,0.4,78.2,18.5,63.6,9.9,another
-28.00110903,151.7641889,36,26,42,0.8,260,0.8,50,0,another
-27.99179202,151.7675385,36,35,88,2,434,2.2,45,5,last
-27.99131002,151.7676857,27,41,105,2.5,465,5.5,63,11,last
-27.98424812,151.7700897,61,50,52,3.5,383,3.3,100,0,last
-27.79441427,152.0112257,86,125,112,1,515,1.4,400,10,last
-27.84350972,152.0645277,92,133,76,1,575,2.1,330,0,last
-28.33502835,152.2744533,92,61,205,1.5,660,10,240,17.5,last
-28.33241875,152.2707152,83,57,215,1.5,494,2.8,335,30,last
-28.36336038,152.2081499,108,55,193,1,368,1.7,410,5,last
-28.36253392,152.2079245,41,20,22,2,255,0.4,20,0,last
-28.33650016,152.1281865,57,27,39,2.8,236,0.9,110,0,last
-28.33625119,152.1310783,36,15,27,1.6,187,0.2,40,2,last
-28.27145546,152.0927346,79.1,42.5,74.9,2.4,141.6,0,294.1,0,last
-28.05776581,151.7895827,33,15,43,2.8,207,0.2,45,7,last
-28.01174108,151.7698443,57,20,35,2.6,293,1,41,11,last
-28.01027476,151.7660868,48,18,33,2.8,248,0.4,41,0,last
-27.80785928,151.3635967,42,47,132,2.8,451,3,140,20,last
-27.80758151,151.3635967,43,53,124,2.5,429,2.1,170,20,last
-27.80702594,151.3660967,56,32,133,2,377,1.6,190,12,last
-27.7094266,151.3297217,40,20,98,2.8,258,2.8,120,0,last
-27.70870758,151.3326955,17,9.4,71,1,180,0.5,64,9.7,last
-27.7525819,151.3519295,44,24,110,2.6,295,5.8,145,2.4,last
-27.74401991,151.3743402,34,16,77,2.2,212,0.6,90,10,last
-28.33730452,152.1264245,63,26,59,3.2,220,2.1,139,0,last
-28.27213258,152.0879701,90,76,514,20,491,4.4,865,46,last
-28.27234077,152.0898201,28,48,950,3,512,12,1340,60,last
-27.14786182,151.1588714,7.5,0.5,165,0.5,351,1.4,66,10,last
-27.16508375,151.2163707,200,400,2080,10,408,0,4420,430,last
-27.17019839,151.2266502,250,390,1860,10,405,0,4000,185,last
-27.12397294,151.1883151,32,30,385,2,475,3.3,425,75,last
-27.54813857,151.2655407,33.5,18,95,1.4,330,6.7,54,6,last
-27.81313694,151.3772077,35,20,86,0.6,290,1.4,84,13,last
-27.81313695,151.3766522,31,19,49,1.9,210,3.8,63,9.7,last
-27.81285919,151.3730411,41,26,86,1.8,340,3.2,89,7.3,last
-27.81147035,151.3683189,60,40,130,2,485,2.5,140,18,last
-27.81008149,151.3652634,41,38,140,2,364,3.4,165,18,last
-27.80591482,151.3683188,18,20,288,1.5,518,3.1,205,13,last
-27.81174812,151.3691523,45,35,79,3.5,305,5.9,125,14,last
-27.81202589,151.3699856,38,27,79,1,300,7.2,91,8.1,last
-27.64786005,151.3263736,31,16.5,78,1.2,315,5.2,45,2,last
-27.74563149,151.4218801,41,26,70,1,329,1.7,53,32,last
-27.81119254,151.373041,44,26,111,1.8,347,1.4,100,13,last
-27.84788093,151.4012536,36,24,100,1.1,330,0.7,94,1.9,last
-27.7253143,151.3517822,42,22,96,2.1,280,3.7,125,2,last
-27.2614564,151.1755085,10,11,179,1.4,349,2.1,99,20,last
-27.38099184,151.2159264,26,17,81,1,290,2.5,59,5.3,last
-27.3898054,151.2994273,25,16,75,1.3,256,5.8,50,10,last
-27.8680795,151.4807031,42.5,24,41.5,1.4,230,2.7,75,4.5,last
-27.11730668,151.0974832,27,28,316,2.5,428,2.1,350,60,last
-27.4292311,151.270236,29,25,125,0.9,420,9.2,65,15,last
-27.37809938,151.3398899,33,40,393,4,422,2.2,540,48,last
-27.5444054,151.3878153,44,33,99,3,422,2.2,70,15,last
-27.22814413,151.3052555,40,50,654,5,377,3.4,990,85,last
-27.89920855,151.6511213,36.8,23.2,65.3,0.9,283.4,1.1,64.6,4.6,last
-27.90602814,151.6371276,63,45,125,1.4,525,0.4,123,12.4,last
-27.91544581,151.624881,49,28,65,1.5,350,5.8,57,2.3,last
-27.28841688,151.1847059,23,14,174,1.5,387,4,116,25,last
-27.36679028,151.1676457,34,20,172,0.2,446,2.3,110,20,last
-26.99243382,151.0160259,214,296,1340,4.4,328,5.4,2940,263,last
-28.20519391,151.9878268,36,26,58,6.5,140,0.2,155,4.8,last
-28.20274381,151.9882754,55,38,54,2.1,325,1.6,115,2,last
-28.20167405,151.9884651,39,20,59,2.2,205,0.5,100,2,last
-28.19878286,151.9889669,55,32,59,1.2,265,1,135,5.6,last
-28.18473097,151.9913666,220,165,630,9,410,2.4,1650,54,last
-27.38281375,151.1860605,40,17.5,115,1.6,400,2.2,69,6.6,last
-27.38286105,151.1922991,23,13,103,1,268,6.7,70,3.3,last
-27.38595688,151.2112457,33,19,108,1.4,287,2.5,104,5.6,last
-27.38428239,151.2394138,36,28,93,1.4,345,3.8,90,10,last
-27.38040767,151.2481634,13,9.6,48.5,2.5,155,0.8,30,5,last
-27.39315426,151.339741,37.5,60,680,1.8,365,11.5,860,320,last
-27.39328526,151.357722,12,18,370,1.5,450,10.5,255,185,last
-27.39356624,151.3839088,28,61,760,2.6,540,18.5,760,510,last
-27.39638487,151.4421743,68,134,839,2,729,3.6,1120,300,last
-27.39853301,151.4948449,24,41,400,1.4,650,10,400,37,last
-27.39879456,151.521587,32,41,365,1,600,9.4,395,31,last
-27.43083997,151.2683461,23,25,125,0.9,395,8.7,73,13,last
-27.19341675,151.3169249,108,104,890,3.7,565,21,1400,147,last
-27.22768913,151.2453315,35,45,664,4.3,399,10,947,66,last
-27.22773469,151.2467409,506,597,2750,7.5,224,1.1,6200,520,last
-27.2774552,151.3430174,67,125,918,3.5,515,7.3,1380,254,last
-27.2781836,151.3427597,43,54,683,4.8,350,10,1050,85,last
-27.19055167,151.275578,32,56,530,3.6,330,9.2,790,68,last
-27.1910746,151.2749702,60,75,560,4,430,8,870,115,last
-27.1604155,151.157279,20.5,15.5,57,1.6,155,0.6,76,3.9,last
-28.14666289,151.878122,51.4,26.7,53.6,1.5,364.1,1.6,35.6,0.6,last
-28.15421363,151.8766905,56.9,33.7,64.4,1.3,390,1.9,64.4,0.7,last
-28.16330747,151.8750968,29,16,57,1.6,245,1.9,38,9.3,last
-28.1383656,151.8795918,41,30,170,1.6,365,3.1,195,9.2,last
-28.21460488,152.0468103,471,279,753.5,5.7,643.7,4.1,2336,93.8,last
-27.43282588,151.4029678,120,290,1700,3.5,365,8.8,3100,710,last
-27.53056396,151.5036759,604,577.7,3647,15.7,308.2,2,7400,933.3,last
