ObjectID,Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,cat_hex,an_hex,diamond_hex
82,-28.18430649,151.9757944,62.0,45.0,61.0,0.9,365.0,5.5,110.0,7.0,#ebddff,#ff9835,#ff8baa
83,-27.07881173,151.13400049999998,46.0,61.0,740.0,4.0,385.0,4.6,1050.0,100.0,#2cff3d,#50ff33,#47f8ff
84,-27.60301054,151.3125908,46.0,23.0,66.0,1.2,365.0,2.5,51.0,2.0,#e4ffd3,#ff5122,#ffd66e
85,-27.43418056,151.50549809999998,36.0,59.0,518.0,2.0,701.0,3.1,530.0,150.0,#36ff50,#d8ff6d,#7bffaf
86,-27.13687737,151.14648490000002,54.0,105.0,890.0,7.0,240.0,2.2,1650.0,91.0,#33ff51,#23ff19,#31b9ff
87,-27.59963065,151.23787109999998,22.0,10.0,92.0,1.5,285.0,1.9,57.0,5.0,#6aff5e,#ff6e2d,#c6ff79
88,-27.17320128,151.11360200000001,96.0,82.0,548.0,4.0,359.0,3.4,1000.0,80.0,#5fff6d,#4dff2f,#5cb2ff
89,-27.69163446,151.328582,35.0,18.0,92.0,1.5,252.0,4.4,93.0,4.7,#9bff91,#ffb237,#ecffc2
90,-27.15840855,151.18268480000003,36.0,33.0,467.0,1.0,598.0,5.6,460.0,106.0,#2eff37,#d6ff60,#68ff97
91,-27.65230654,151.30772119999997,29.0,14.5,85.0,1.4,250.0,3.0,93.0,2.5,#8fff84,#ffb536,#e2ffbb
92,-27.29009885,151.25121030000003,43.0,58.0,420.0,3.9,460.0,7.2,580.0,100.0,#46ff61,#96ff53,#7dfff3
93,-27.12979714,151.24663180000002,51.0,49.0,310.0,4.2,495.0,6.6,415.0,38.0,#5dff70,#c8ff42,#a5ffd9
94,-27.56848826,151.3133427,36.0,24.0,100.0,1.0,400.0,4.9,60.0,7.0,#9affa0,#ff5526,#f1ff76
95,-27.55939843,151.2666977,24.0,12.0,94.0,0.9,295.0,10.0,53.0,5.3,#71ff69,#ff6029,#ceff74
96,-27.67555349,151.27925349999998,18.0,9.2,83.0,1.6,220.0,0.8,59.0,6.0,#62ff5b,#ff8d35,#c1ff8a
97,-27.62647181,151.2558191,20.0,10.0,89.0,1.3,243.0,0.5,65.0,6.0,#65ff5d,#ff8d35,#c3ff8c
98,-27.44465765,151.5511732,9.9,20.6,399.3,0.1,638.3,18.4,243.6,66.4,#18ff26,#ffb553,#63ff49
99,-27.79828005,151.43228280000002,74.0,34.5,110.0,2.4,540.0,6.3,80.0,3.8,#dfffc8,#ff5524,#ffde73
100,-27.61535876,151.247387,17.0,9.1,90.0,1.2,245.0,0.6,60.0,5.0,#57ff53,#ff8332,#bbff7d
101,-27.33850056,151.18962150000002,52.0,36.0,170.0,0.0,470.0,2.8,170.0,38.0,#8bff93,#ffb34b,#e7ffca
102,-27.69588351,151.3784064,71.0,32.0,85.0,1.8,400.0,1.5,125.0,13.0,#f9ffd8,#ff9f39,#ffb4ae
103,-27.66415368,151.3875076,47.0,24.0,81.0,2.0,388.0,1.2,65.0,5.0,#cdffbf,#ff5f28,#ffeb80
104,-27.27552331,151.1507195,49.0,29.0,250.0,2.0,560.0,4.3,205.0,56.0,#5bff5a,#ffb553,#b6ff9d
105,-27.119250399999995,151.25498059999998,43.0,41.0,315.0,2.3,640.0,8.5,290.0,45.0,#4fff5f,#ffd247,#a6ff97
106,-27.56072228,151.3128508,38.0,27.0,101.0,1.0,425.0,0.8,54.0,10.0,#a2ffad,#ff4c26,#f8ff6f
107,-27.69449087,151.3518326,57.0,30.0,87.0,1.3,351.0,1.2,130.0,2.0,#ddffd1,#ffb736,#ffd0c1
108,-27.68421371,151.34579730000002,50.0,28.0,88.0,1.0,351.0,1.5,115.0,1.0,#cbffc5,#ffa634,#ffe5b9
109,-27.67722155,151.34344850000002,55.0,31.0,100.0,1.0,363.0,1.6,145.0,1.0,#c7ffc2,#ffc236,#ffe6ce
110,-27.57420286,151.3768517,165.0,100.0,190.0,0.7,195.0,2.0,415.0,500.0,#fefffe,#7effed,#7d48ff
111,-27.48446069,151.3053844,44.0,36.0,106.0,1.0,444.0,0.9,48.0,35.0,#b2ffc9,#ff4939,#fff47b
112,-27.557137199999996,151.25080269999998,26.5,13.0,105.0,1.2,315.0,1.2,70.0,7.6,#70ff67,#ff7831,#ccff86
113,-27.44360898,151.3737045,66.0,83.0,420.0,4.0,465.0,2.3,700.0,105.0,#61ff83,#81ff4b,#84cfff
114,-28.20155291,151.96786369999998,25.0,23.0,57.0,0.7,280.0,2.4,35.0,7.3,#b8ffdd,#ff4a26,#ffe76f
115,-27.54590975,151.2945602,30.0,21.0,110.0,1.0,395.0,1.7,52.0,13.0,#7fff87,#ff4f2a,#ddff70
116,-27.36396954,151.2812332,29.0,35.0,205.0,2.0,470.0,2.2,165.0,51.0,#58ff75,#ffb157,#beffa4
117,-27.60099641,151.3908093,37.0,26.0,96.0,1.2,401.0,0.8,65.0,7.0,#a4ffae,#ff5d29,#faff7e
118,-27.34978943,151.3717009,27.0,43.0,410.0,1.0,756.0,2.9,335.0,80.0,#33ff4b,#ffd254,#83ff78
119,-27.57011558,151.3476726,39.0,25.0,80.0,1.3,380.0,5.5,41.0,5.0,#bbffbf,#ff401e,#fff261
120,-27.76897056,151.40480280000003,68.0,31.0,105.0,2.3,500.0,2.0,87.0,5.6,#daffc2,#ff6228,#ffe481
121,-27.786740999999996,151.4343391,73.0,33.0,96.0,2.0,510.0,1.3,87.0,10.0,#eeffd1,#ff612a,#ffcf81
122,-27.60389034,151.3484107,41.0,26.0,86.0,1.0,400.0,1.7,60.0,6.0,#b8ffbb,#ff5726,#fff478
123,-27.45452751,151.2755396,32.0,28.0,125.0,1.0,439.0,1.9,70.0,24.0,#82ff96,#ff5f37,#e2ff84
124,-27.71993707,151.4089755,58.0,27.0,84.0,1.5,435.0,1.5,61.0,12.0,#e2ffcb,#ff5229,#ffdb77
125,-27.81535578,151.5092892,60.0,52.0,140.0,3.0,485.0,1.7,200.0,14.0,#b5ffd2,#ffc63b,#ffe9d8
126,-27.3063653,151.22615880000004,33.0,28.0,190.0,1.5,410.0,2.6,185.0,36.0,#5eff6c,#ffd44d,#b4ffa8
127,-27.67643066,151.3778634,52.0,28.0,83.0,1.8,380.0,1.7,86.0,5.0,#d7ffcd,#ff7a2e,#ffdd97
128,-27.54452499,151.3942075,29.5,36.0,130.0,1.8,395.0,9.3,105.0,20.0,#7effaa,#ff883c,#e9ffa9
129,-27.18019468,151.0470913,57.0,36.0,460.0,6.0,295.0,1.9,780.0,4.0,#3cff3d,#4dff20,#52ebff
130,-27.78861654,151.3799101,53.0,30.0,105.0,2.5,375.0,0.9,125.0,3.0,#bcffb7,#ffa935,#fff4bf
131,-27.26592133,151.1572917,25.0,18.0,208.0,1.5,419.0,3.7,160.0,38.0,#3fff43,#ffba4f,#95ff7c
132,-27.60240107,151.27388100000002,24.0,13.0,99.0,1.1,275.0,0.9,69.0,3.0,#6dff68,#ff8630,#ccff8c
133,-27.44702962,151.3803071,70.0,88.0,494.0,4.0,479.0,1.2,825.0,130.0,#5aff79,#75ff4b,#76ceff
134,-27.47550883,151.336222,41.0,34.0,110.0,3.0,435.0,1.5,78.0,25.0,#a5ffbc,#ff683a,#ffff93
135,-27.47789735,151.27200469999997,25.0,19.0,120.0,1.3,396.0,3.2,52.0,14.0,#69ff73,#ff4e2a,#ceff6a
136,-27.42107367,151.2268966,45.0,25.0,79.0,2.0,325.0,2.3,98.0,5.0,#cbffc4,#ff9a34,#ffe6b4
137,-27.68245506,151.383125,53.0,27.0,73.0,1.8,385.0,2.7,77.0,2.0,#e8ffd8,#ff6e2a,#ffce88
138,-27.78439088,151.38039619999998,53.0,30.0,120.0,2.0,410.0,1.9,125.0,3.0,#acffa8,#ff9c33,#fcffb5
139,-27.71730376,151.4244281,55.0,29.5,95.0,1.8,435.0,5.0,84.0,3.5,#cdffc3,#ff6a2a,#ffe888
140,-27.5341373,151.22939509999998,46.0,22.0,195.0,2.0,395.0,1.4,215.0,13.0,#6aff60,#fff33d,#aeffab
141,-27.604248600000002,151.4094278,37.0,29.0,120.0,1.9,430.0,2.4,77.0,10.0,#90ffa0,#ff642c,#ebff85
142,-27.63509577,151.258603,20.0,9.5,89.0,1.3,247.0,0.6,43.0,8.0,#65ff5b,#ff632f,#c4ff73
143,-27.58691638,151.4063261,40.0,27.0,105.0,2.0,335.0,2.5,100.0,14.5,#a0ffa7,#ff993c,#f7ffba
144,-27.323763300000003,151.2478944,34.0,44.0,363.0,2.0,442.0,1.2,440.0,100.0,#40ff57,#b1ff62,#7effd6
145,-27.5539924,151.27816409999997,36.0,18.0,81.0,0.5,325.0,1.2,50.0,14.0,#aeffa1,#ff5a31,#f8ff83
146,-27.24508346,151.199983,37.0,29.0,198.0,1.7,362.0,1.1,213.0,33.0,#61ff6c,#feff4c,#adffb9
147,-27.75775374,151.44033080000003,58.0,30.0,87.0,18.0,425.0,3.6,750.0,5.0,#d2ffc5,#6dff2a,#9a85ff
148,-27.72718298,151.3066772,37.0,20.0,69.0,1.6,230.0,0.8,110.0,3.1,#c3ffbb,#ffde39,#ffeae5
149,-27.79130713,151.4418033,69.0,32.5,105.0,1.5,530.0,2.6,70.0,6.2,#ddffc7,#ff4e23,#ffe06d
150,-27.79512365,151.4364345,70.0,34.0,115.0,2.0,570.0,1.4,70.0,4.0,#d3ffc1,#ff4920,#ffe868
151,-27.70869248,151.4572054,39.0,30.0,186.0,3.7,444.0,18.0,162.0,26.0,#69ff74,#ffaa41,#cbffa8
152,-27.56174873,151.4119273,41.0,39.0,170.0,2.0,470.0,2.0,160.0,46.0,#7eff98,#ffad52,#e1ffc4
153,-27.53983689,151.2643069,29.0,15.0,99.0,1.0,345.0,3.7,58.0,6.5,#7fff77,#ff5e29,#d8ff78
154,-27.18237078,151.0499958,305.0,165.0,1100.0,0.5,450.0,2.5,2300.0,180.0,#7aff75,#2eff23,#437aff
155,-27.55341632,151.2691519,30.0,15.0,105.0,1.0,340.0,3.3,52.0,5.3,#7cff73,#ff5726,#d5ff70
156,-27.19774384,151.0712623,28.0,20.0,240.0,2.4,275.0,5.0,310.0,2.9,#3cff41,#a0ff33,#76ffc3
157,-27.57409494,151.3958231,38.0,28.0,110.0,2.0,430.0,2.5,67.0,10.5,#9affa6,#ff592a,#f2ff7c
158,-27.29449808,151.252035,42.0,62.0,425.0,3.0,455.0,7.1,610.0,105.0,#46ff64,#90ff53,#7cfffd
159,-27.25690201,151.1745368,15.0,18.0,246.0,1.5,416.0,2.2,192.0,40.0,#29ff37,#ffd850,#6eff65
160,-27.37682176,151.2746404,35.0,31.0,125.0,2.0,445.0,2.0,75.0,33.0,#8affa1,#ff6640,#e9ff90
